,name,count
0,"[['Bacteria', 3]]",581
1,"[['Fungi', 5]]",241
2,"[['Fungal', 4904189]]",209
3,"[['Sterile', 3280708]]",143
4,"[['Cyanobacteria', 68]]",124
5,"[['Viruses', 8]]",98
6,"[['Mammalian', 4899044]]",94
7,"[['caterpillars', 2928134]]",83
8,"[['butterflies', 797]]",81
9,"[['Proteobacteria', 111]]",78
10,"[['Primates', 798]]",56
11,"[['Archaea', 2]]",55
12,"[['hummingbird', 5289]]",45
13,"[['cockroaches', 800]]",41
14,"[['Firmicutes', 87]]",41
15,"[['chimpanzees', 2436437]]",40
16,"[['pomegranate', 5420901]]",37
17,"[['Hymenoptera', 1457]]",35
18,"[['horseradish', 3041022]]",35
19,"[['blueberries', 2882813]]",35
20,"[['Salamanders', 6750]]",32
21,"[['Symbiodiniaceae', 8050779]]",30
22,"[['dinoflagellates', 8792207]]",28
23,"[['hummingbirds', 5289]]",28
24,"[['echinoderms', 50]]",27
25,"[['Gammaproteobacteria', 362]]",27
26,"[['Protozoa', 7]]",27
27,"[['Coleoptera', 1470]]",26
28,"[['cephalopods', 136]]",26
29,"[['cauliflower', 3042854]]",23
30,"[['Alphaproteobacteria', 197]]",23
31,"[['Prions', 9273682]]",22
32,"[['Lepidoptera', 797]]",20
33,"[['Diptera', 811]]",20
34,"[['grasshopper', 1458]]",20
35,"[['Stickleback', 7193464]]",20
36,"[['Planctomycetes', 10808737]]",19
37,"[['Satellites', 9582983]]",19
38,"[['brachiopods', 110]]",18
39,"[['elasmobranch', 121]]",17
40,"[['grasshoppers', 9394]]",17
41,"[['Chlorophyta', 36]]",16
42,"[['Enterobacteriaceae', 4899]]",15
43,"[['Asteraceae', 3065]]",15
44,"[['Solanaceae', 7717]]",15
45,"[['Hemiptera', 809]]",15
46,"[['chrysanthemum', 3141100]]",15
47,"[['tardigrades', 14]]",14
48,"[['Blackcurrant', 2986192]]",14
49,"[['switchgrass', 2705081]]",14
50,"[['albatrosses', 5238]]",14
51,"[['Paleo', 10806540]]",14
52,"[['Neanderthal', 4827584]]",14
53,"[['Fabaceae', 5386]]",13
54,"[['Bacilli', 303]]",13
55,"[['Leatherback', 2441866]]",13
56,"[['sticklebacks', 7666]]",13
57,"[['Brassicaceae', 3112]]",12
58,"[['ascomycetes', 95]]",12
59,"[['ctenophores', 9348814]]",12
60,"[['Shearwaters', 9339]]",12
61,"[['sweetpotato', 2928551]]",12
